id,Country Name,Capital,Currency,Official Language,Head of Government,Population
1,Afghanistan,Kabul,Afghani,Dari Persian; Pashto,President - Amrullah Saleh,39074280
2,Albania,Tirane,Lek,Albanian,Prime Minister – Edi Rama,2877239
3,Algeria,Algiers,Dinar,Arabic; Tamazight; French,Prime Minister – Aymen Benabderrahmane,43984569
4,Andorra,Andorra la Vella,Euro,Catalan,Prime Minister - Xavier Espot Zamora,77287
5,Angola,Luanda,New Kwanza,Portuguese,President – H.E. Joao Manuel Goncalves Lourenco,33032075
6,Antigua and Barbuda,Saint John's,East Caribbean dollar,English,Prime Minister – Gaston Alphonso Browne,98069
7,Argentina,Buenos Aires,Peso,Spanish,President – Alberto Fernández,45267449
8,Armenia,Yerevan,Dram,Armenian,President – Vahagn Khachaturyan,2964219
9,Australia,Canberra,Australian dollar,English,Prime Minister  - Anthony Albanese,25550683
10,Austria,Vienna,Euro (formerly schilling),German,President - Alexander Van der Bellen,9015361
11,Azerbaijan,Baku,Manat,Azerbaijani,Prime Minister – Ali Asadov,10154978
12,The Bahamas,Nassau,Bahamian dollar,English,Prime Minister – Philip Davis,393893
13,Bahrain,Manama,Bahrain dinar,Arabic,Prime Minister – Salman bin Hamad Al Khalifa,1711057
14,Bangladesh,Dhaka,Taka,Bangla,Prime Minister – Sheikh Hasina,164972348
15,Barbados,Bridgetown,Barbados dollar,English,Prime Minister – Mia Mottley,287437
16,Belarus,Minsk,Belorussian ruble,Belarusian; Russian,President - Alexander Lukashenko,9448772
17,Belgium,Brussels,Euro (formerly Belgian franc),Dutch; French; German,Prime Minister – Alexander De Croo,11598451
18,Belize,Belmopan,Belize dollar,English,Prime Minister – Johnny Briceño,398845
19,Benin,Porto-Novo,CFA Franc,French,President - Patrice Talon,12175480
20,Bhutan,Thimphu,Ngultrum,Dzongkha,Prime Minister – Lotay Tshering,773069
21,Bolivia,La Paz (administrative); Sucre (judicial),Boliviano,Spanish; Quechua; Aymara,President – Luis Arce,11700207
22,Bosnia and Herzegovina,Sarajevo,Convertible Mark,Bosnian; Croatian; Serbian,Chairman of the Council of Ministers - Zoran Tegeltija,3277152
23,Botswana,Gaborone,Pula,English; Tswana,President – Mokgweetsi Masisi,2359585
24,Brazil,Brasilia,Real,Portuguese,President – Luiz Inácio Lula da Silva,212821986
25,Brunei,Bandar Seri Begawan,Brunei dollar,Malay,Sultan and Prime Minister – Hassanal Bolkiah,438202
26,Bulgaria,Sofia,Lev,Bulgarian,Prime Minister – Galab Donev,6939018
27,Burkina Faso,Ouagadougou,CFA Franc,French,Prime Minister  - Apollinaire Joachim Kyélem de Tambèla,20997293
28,Burundi,Gitega,Burundi franc,Kirundi; French,President – Évariste Ndayishimiye,11948454
29,Cambodia,Phnom Penh,Riel,Khmer,Prime Minister – Hun Sen,16758448
30,Cameroon,Yaounde,CFA Franc,French; English,Prime Minister – Joseph Ngute,26655083
31,Canada,Ottawa,Canadian dollar,English; French,Prime Minister – Justin Trudeau,37799407
32,Central African Republic,Bangui,CFA Franc,Sango; French,Prime Minister – Félix Moloua,4843954
33,Chad,N'Djamena,CFA Franc,French; Arabic,President - Mahamat Déby,16502877
34,Chile,Santiago,Chilean Peso,Spanish,President – Gabriel Boric,19144605
35,China,Beijing,Chinese Yuan,Mandarin,President - Xi Jinping ,1440297825
36,Colombia,Bogota,Colombian Peso,Spanish,President – Gustavo Petro,50976248
37,Comoros,Moroni,Franc,Comorian; Arabic; French,President – Azali Assoumani,872695
38,Republic of the Congo,Brazzaville,CFA Franc,French,Prime Minister –Anatole Collinet Makosso,5540555
39,Democratic Republic of the Congo,Kinshasa,Congolese franc,French,Prime Minister – Jean-Michel Sama Lukonde,90003954
40,Costa Rica,San Jose,Colón,Spanish,President – Rodrigo Chaves Robles,5102158
41,Cote d'Ivoire,Yamoussoukro (official); Abidjan (de facto),CFA Franc,French,President - Alassane Dramane Ouattara,26486282
42,Croatia,Zagreb,Croatian,Kuna,Prime Minister – Andrej Plenković,4100719
43,Cuba,Havana,Cuban Peso,Spanish,Prime Minister-Manuel Marrero Cruz,11325391
44,Cyprus,Nicosia,Euro,Greek; Turkish,President – Nicos Anastasiades,1208886
45,Czech Republic,Prague,Koruna,Czech; Slovak,Prime Minister – Petr Fiala,10712481
46,Denmark,Copenhagen,Danish Krone,Danish,Prime Minister – Mette Frederiksen,5795780
47,Djibouti,Djibouti,Djiboutian franc,Arabic; French,Prime Minister – Abdoulkader Kamil Mohamed,990447
48,Dominica,Roseau,East Caribbean dollar,English; French; Antillean Creole,Prime Minister – Roosevelt Skerrit,72017
49,Dominican Republic,Santo Domingo,Dominican Peso,Spanish,President – Luis Abinader,10866667
50,East Timor (Timor-Leste),Dili,U.S. dollar,Tetum; Portuguese;,Prime Minister – Taur Matan Ruak,1322667
51,Ecuador,Quito,U.S. dollar,Spanish,President – Guillermo Lasso,17688599
52,Egypt,Cairo,Egyptian pound,Arabic,Prime Minister – Moustafa Madbouly,102659126
53,El Salvador,San Salvador,Colón; U.S. dollar,Spanish,President – Nayib Armando Bukele Ortez,6491923
54,Equatorial Guinea,Malabo,CFA Franc,Spanish; French; Portuguese,Prime Minister –Francisco Pascual Obama Asue,1410419
55,Eritrea,Asmara,Nakfa,Arabic; Tigrinya; English,President – Isaias Afwerki,3554797
56,Estonia,Tallinn,Estonia Kroon; Euro,Estonian,Prime Minister – Kaja Kallas,1326693
57,Ethiopia,Addis Ababa,Birr,Amharic,Prime Minister – Abiy Ahmed,115434444
58,Fiji,Suva,Fiji dollar,English; Bau Fijian; Hindi,Prime Minister – Sitiveni Rabuka,897573
59,Finland,Helsinki,Euro (formerly markka),Finnish; Swedish,Prime Minister – Sanna Marin,5542237
60,France,Paris,Euro (formerly French franc),French,Prime Minister- Elisabeth Borne,65298930
61,Gabon,Libreville,CFA Franc,French,Prime Minister – Alain Claude Bilie By Nze,2234448
62,The Gambia,Banjul,Dalasi,English,President – Adama Barrow,2427782
63,Georgia,Tbilisi,Lari,Georgian,Prime Minister – Irakli Garibashvili,3987805
64,Germany,Berlin,Euro (formerly Deutsche mark),German,President - Frank-Walter Steinmeier,83830972
65,Ghana,Accra,Cedi,English,President - Nana Akufo-Addo,31181428
66,Greece,Athens,Euro (formerly drachma),Greek,Prime Minister –Kyriakos Mitsotakis,10413936
67,Grenada,Saint George's,East Caribbean dollar,English; Patois,Prime Minister – Dickon Mitchell,112614
68,Guatemala,Guatemala City,Quetzal,Spanish,President – Alejandro Giammattei,17971382
69,Guinea,Conakry,Guinean franc,French,Prime Minister –Bernard Goumou,13191279
70,Guinea-Bissau,Bissau,CFA Franc,Portuguese,Prime Minister –Nuno Gomes Nabiam,1975718
71,Guyana,Georgetown,Guyanese dollar,English,President - Mohamed Irfaan Ali,787215
72,Haiti,Port-au-Prince,Gourde,Haitian Creole; French,Prime Minister – Ariel Henry,11426356
73,Honduras,Tegucigalpa,Lempira,Spanish,President – Xiomara Castro Zelaya,9931333
74,Hungary,Budapest,Forint,Hungarian,Prime Minister – Viktor Orbán,9655983
75,Iceland,Reykjavik,Icelandic króna,Icelandic,President - Guðni Thorlacius Jóhannesson,341628
76,India,New Delhi,Indian Rupee,Hindi; English,Prime Minister – Mr. Narendra Modi,1382345085
77,Indonesia,Jakarta,Rupiah,Indonesian,President – Joko Widodo,274021604
78,Iran,Tehran,Rial,Persian,President – Ebrahim Raisi,84176929
79,Iraq,Baghdad,Iraqi Dinar,Arabic; Kurdish,Prime Minister  - Mohammed Shia' Al Sudani,40372771
80,Ireland,Dublin,Euro (formerly Irish pound [punt]),English; Irish,Prime Minister-Taoiseach – Leo Varadkar,4947267
81,Israel,Jerusalem*,Shekel,Hebrew; Arabic,Prime Minister –Benjamin Netanyahu,8678517
82,Italy,Rome,Euro (formerly lira),Italian,Prime Minister – Giorgia Meloni,60446035
83,Jamaica,Kingston,Jamaican dollar,English,Prime Minister – Andrew Holness,2963429
84,Japan,Tokyo,Yen,Japanese,Prime Minister –Fumio Kishida,126407422
85,Jordan,Amman,Jordanian dinar,Arabic,Prime Minister – Bishr Al-Khasawneh,10220604
86,Kazakhstan,Nur Sultan,Tenge,Kazakh; Russian,Prime Minister – Alihan Smaiylov,18815231
87,Kenya,Nairobi,Kenya shilling,Swahili; English,President – William Ruto,53968739
88,Kiribati,Tarawa Atoll,Kiribati dollar,English; Gilbertese,President – Taneti Mamau,119760
89,"Korea, North",Pyongyang,Won,Korean,President – Kim Jong-un,25798588
90,"Korea, South",Seoul,Won,Korean,Prime Minister – Han Duck-soo,51276977
91,Kuwait,Kuwait City,Kuwaiti Dollar,Arabic; English,Prime Minister – Ahmad Nawaf Al-Ahmad Al-Sabah,4281320
92,Kyrgyzstan,Bishkek,Som,Kyrgyz; Russian,President - Sadyr Japarov,6542426
93,Laos,Vientiane,New Kip,Lao (Laotian),Prime Minister –Sonexay Siphandone,7293542
94,Latvia,Riga,Lats,Latvian,Prime Minister –Krišjānis Kariņš,1882408
95,Lebanon,Beirut,Lebanese pound,Arabic; French,Prime Minister –Najib Mikati,6819976
96,Lesotho,Maseru,Maluti,Sesotho; English,Prime Minister - Sam Matekane,2145194
97,Liberia,Monrovia,Liberian dollar,English,President – George Weah,5077411
98,Libya,Tripoli,Libyan dinar,Arabic,Prime Minister – Abdul Hamid Dbeibeh,6887247
99,Liechtenstein,Vaduz,Swiss franc,German,Prime Minister- Daniel Risch,38147
100,Lithuania,Vilnius,Litas,Lithuanian,Prime Minister – Ingrida Šimonytė,2715340
101,Luxembourg,Luxembourg,Euro (formerly Luxembourg franc),German; French; Luxembourgish,Prime Minister – Xavier Bettel,627704
102,Macedonia,Skopje,Denar,Macedonian,President of the Government – Stevo Pendarovski,2083359
103,Madagascar,Antananarivo,Malagasy Ariary,Malagasy; French; English,Prime Minister –Christian Ntsay,27808395
104,Malawi,Lilongwe,Kwacha,English,President – Lazarus Chakwera,19211425
105,Malaysia,Kuala Lumpur,Ringgit,Malay,Prime Minister – Anwar bin Ibrahim,32436963
106,Maldives,Male,Rufiyaa,Dhivehi,President – Ibrahim Mohamed Solih,542151
107,Mali,Bamako,CFA Franc,French,Prime Minister- Abdoulaye Maïga,20346106
108,Malta,Valletta,Euro,Maltese; English,Prime Minister – Robert Abela,441750
109,Marshall Islands,Majuro,U.S. Dollar,Marshallese; English,President – David Kabua,59259
110,Mauritania,Nouakchott,Ouguiya,Arabic,Prime Minister – Mohamed Ould Bilal,4669775
111,Mauritius,Port Louis,Mauritian rupee,English,Prime Minister – Pravind Jugnauth,1272140
112,Mexico,Mexico City,Mexican peso,Spanish,President – Andrés Manuel López Obrador,129166028
113,Federated States of Micronesia,Palikir,U.S. Dollar,English,President – David Panuelo,115231
114,Moldova,Chisinau,Leu,Moldovan (Romanian),Prime Minister – Natalia Gavrilița,4032294
115,Monaco,Monte Carlo,Euro,French; Italian; English,Minister of State –Pierre Dartout,39290
116,Mongolia,Ulaanbaatar,Togrog,Mongolian,Prime Minister – Luvsannamsrain Oyun-Erdene,3287242
117,Montenegro,Podgorica,Euro,Montenegrin,Prime Minister – Dritan Abazović,628080
118,Morocco,Rabat,Dirham,Arabic,Prime Minister-Aziz Akhannouch,36985624
119,Mozambique,Maputo,Metical,Portuguese,Prime Minister – Adriano Maleiane,31398811
120,Myanmar (Burma),Nay Pyi Taw,Kyat,Burmese,President– Myint Swe,54473253
121,Namibia,Windhoek,Namibian dollar,English; Afrikaans; German,Prime Minister – Saara Kuugongelwa-Amadhila,2548663
122,Nauru,no official capital; government offices in Yaren District,Australian dollar,English; Nauran,President – Russ Kun,10836
123,Nepal,Kathmandu,Nepalese rupee,Nepali,Prime Minister – Pushpa Kamal Dahal,29225196
124,Netherlands,Amsterdam; The Hague (seat of government),Euro (formerly guilder),Dutch,Prime Minister – Mark Rutte,17141544
125,New Zealand,Wellington,New Zealand dollar,English,Prime Minister – Jacinda Ardern,4829021
126,Nicaragua,Managua,Gold cordoba,Spanish,President – Daniel Ortega,6638075
127,Niger,Niamey,CFA Franc,French,Prime Minister – Ouhoumoudou Mahamadou,24346468
128,Nigeria,Abuja,Naira,English,President - Muhammadu Buhari,206984347
129,Norway,Oslo,Norwegian krone,Norwegian,Prime Minister – Jonas Gahr Støre,5428594
130,Oman,Muscat,Omani rial,Arabic,Sultan and Prime Minister – Haitham bin Tariq,5128058
131,Pakistan,Islamabad,Pakistani rupee,Urdu; English,Prime Minister –Shehbaz Sharif,221612785
132,Palau,Melekeok,U.S. dollar,English; Palauan,Vice President –Surangel S. Whipps Jr.,18109
133,Palestine,"Ramallah, East Jerusalem",Palestine Pound,Arabic,Prime Minister - Mohammad Shtayyeh,5121112
134,Panama,Panama City,Balboa; U.S. dollar,Spanish,President – Laurentino Cortizo,4326296
135,Papua New Guinea,Port Moresby ,Kina,English; Tok Pisin; Hiri Motu,Prime Minister – James Marape,8975531
136,Paraguay,Asuncion,Guaraní,Spanish; Guarani,President – Mario Abdo Benítez,7147553
137,Peru,Lima,Nuevo sol (1991),Spanish,President - Dina Boluarte,33050211
138,Philippines,Manila,Peso,Filipino; English,President – Bongbong Marcos,109830324
139,Poland,Warsaw,Zloty,Polish,President – Andrzej Duda,37839255
140,Portugal,Lisbon,Euro (formerly escudo),Portuguese,Prime Minister – António Costa,10191409
141,Qatar,Doha,Qatari riyal,Arabic,Prime Minister – Khalid bin Khalifa bin Abdul Aziz Al Thani,2889284
142,Romania,Bucharest,Romanian Rupee,Romanian,Prime Minister –Nicolae Ciucă,19214608
143,Russia,Moscow,Ruble,Romanian,Prime Minister –Mikhail Vladimirovich Mishustin,145945524
144,Rwanda,Kigali,Rwandan franc,Russian,Prime Minister – Édouard Ngirente,13005303
145,Saint Kitts and Nevis,Basseterre,East Caribbean dollar,English,Prime Minister –Terrance Drew,53264
146,Saint Lucia,Castries,East Caribbean dollar,English,Prime Minister – Philip J. Pierre,183774
147,Saint Vincent and the Grenadines,Kingstown ,East Caribbean dollar,English,Prime Minister – Ralph Gonsalves,111002
148,Samoa,Apia,Tala,"Samoan, English",Prime Minister – Fiame Naomi Mata’afa,198643
149,San Marino,San Marino,Euro,Italian,Head - HE Ms Maria Luisa Berti II and HE Mr Manuel Ciavatta I,33944
150,Sao Tome and Principe,Sao Tome,Dobra,Portuguese,Prime Minister – Patrice Trovoada,219844
151,Saudi Arabia,Riyadh,Riyal,Arabic,King and Prime Minister – Mohammed bin Salman,34905942
152,Senegal,Dakar,CFA Franc,French,Prime Minister –Amadou Ba,16816539
153,Serbia,Belgrade,Serbian Dinar,Serbian,Prime Minister – Ana Brnabić,8731081
154,Seychelles,Victoria,Seychelles rupee,"Seychellois Creole, French English",President – Wavel Ramkalawan,98453
155,Sierra Leone,Freetown,Leone,English,President – Julius Maada Wonie Bio,8004158
156,Singapore,Singapore,Singapore dollar,"English, Chinese, Tamil and Malay",Prime Minister – Lee Hsien Loong,5858322
157,Slovakia,Bratislava,Euro,Slovak,Prime Minister – Eduard Heger,5460109
158,Slovenia,Ljubljana,Slovenian tolar; euro (as of 1/1/07),Slovene,Prime Minister – Robert Golob,2078989
159,Solomon Islands,Honiara,Solomon Islands dollar,English,Prime Minister –Manasseh Sogavare,689671
160,Somalia,Mogadishu,Somali shilling,Somali Arabic,Prime Minister –Hamza Abdi Barre,15965848
161,South Africa,Pretoria (administrative); Cape Town (legislative); Bloemfontein (judiciary),Rand,"Afrikaans, English, Southern Ndebele, Northern Sotho, Southern Sotho, Swazi, Tsonga, Tswana, Venda, Xhosa, Zulu",President – Cyril Ramaphosa,59436725
162,South Sudan,Juba,Sudanese Pound,English,President – Salva Kiir Mayardit,11216250
163,Spain,Madrid,Euro (formerly peseta),"Spanish, Catalan Galician , Gasque",Prime Minister - Pedro Sánchez,46757980
164,Sri Lanka,Colombo; Sri Jayewardenepura Kotte (legislative),Sri Lankan rupee,"Sinhala, Tamil",Prime Minister - Dinesh Gunawardena,21428970
165,Sudan,Khartoum,Sudanese Pound,"Arabic, English",Prime Minister –Osman Hussein,44019263
166,Suriname,Paramaribo,Surinamese dollar,Dutch,President –Chabdrikapersad ‘Chan’ Santokhi,587541
167,Sweden,Stockholm,Krona,Swedish,Prime Minister – Ulf Kristersson,10110233
168,Switzerland,Berne,Swiss franc,"German, French, Italian, Romansh",President - Alain Berset,8665615
169,Syria,Damascus,Syrian pound,Arabic,Prime Minister – Hussein Arnous,17571053
170,Taiwan,Taipei,Taiwan dollar,Standard Chinese,President - Tsai Ing-wen,23824369
171,Tajikistan,Dushanbe,somoni,Tajik; Russian,Prime Minister – Kokhir Rasulzoda,9573310
172,Tanzania,Dar es Salaam; Dodoma (legislative),Tanzanian shilling,"Swahili, English",Prime Minister – Kassim Majaliwa,60012400
173,Thailand,Bangkok,Baht,Thai,Prime Minister – Prayut Chan-o-cha,69830779
174,Togo,Lome,CFA Franc,French,Prime Minister –Victoire Tomegah Dogbé,8310934
175,Tonga,Nuku'alofa,Pa'anga,English,Prime Minister – Siaosi Sovaleni,105901
176,Trinidad and Tobago,Port-of-Spain,Trinidad and Tobago dollar,English,Prime Minister – Keith Rowley,1400283
177,Tunisia,Tunis,Tunisian dinar,Arabic,Prime Minister- Najla Bouden,11839918
178,Turkey,Ankara,Turkish lira (YTL),Turkish,President – Recep Tayyip Erdoğan,84495243
179,Turkmenistan,Ashgabat,Manat,Turkmen,President – Serdar Berdimuhamedow,6046292
180,Tuvalu,"Vaiaku village, Funafuti province",Tuvaluan Dollar,Tuvaluan; English,Prime Minister – Kausea Natano,11817
181,Uganda,Kampala,Ugandan new shilling,"Swahili, English, Luganda",Prime Minister – Robinah Nabbanja,45974931
182,Ukraine,Kiev,Hryvnia,Ukrainian,President - Volodymyr Zelenskyy,43686577
183,United Arab Emirates,Abu Dhabi,U.A.E. Dirham,Arabic,Prime Minister – Sheikh Mohammed bin Rashid Al Maktoum,9910892
184,United Kingdom,London,Pound sterling,English,Prime Minister – Rishi Sunak,67948282
185,United States of America,Washington D.C.,Dollar,English,President – Joe Biden,331341050
186,Uruguay,Montevideo,Uruguay peso,Spanish,President – Luis Lacalle Pou,3475842
187,Uzbekistan,Tashkent,Uzbekistani sum,Uzbek,Prime Minister – Abdulla Aripov,33551824
188,Vanuatu,Port-Vila,Vatu,"Bislama, French, English",Prime Minister – Alatoi Ishmael Kalsakau,308337
189,Vatican City (Holy See),Vatican City,Euro,Italian,President - Fernando Vérgez Alzaga,801
190,Venezuela,Caracas,Bolivar,Spanish,President – Nicolás Maduro,28421581
191,Vietnam,Hanoi,Dong,Vietnamese,Prime Minister - Pham Minh Chinh,97490013
192,Yemen,Sanaa,Rial,Arabic,Prime Minister – Maeen Abdulmalik Saeed,29935468
193,Zambia,Lusaka,Kwacha,English,President – Hakainde Hichilema,18468257
194,Zimbabwe,Harare,United States dollar,"English, Shona, Ndebele",President –Emmerson Mnangagwa,14899771
